,mean_usage,std_dev,max_usage,total_usage,mean_Night,mean_Morning,mean_Afternoon,mean_Evening,cluster
MAC000161,0.2373438966842723,0.10644587095164139,1.321,808.8679999,0.19679225352112675,0.2053591549295775,0.2332206572769953,0.3140035210093897,0
MAC000162,0.09719052511986302,0.09439350090064344,1.3,1702.7780001,0.07570593607305935,0.0815365296803653,0.09422191783105023,0.1372977168949772,0
MAC000163,0.2679815035280013,0.3407830398830937,2.8959999,4694.231997299999,0.10215981735159817,0.296930821826484,0.36329178066210044,0.30957208096870004,2
MAC000164,0.3114094285257143,0.2343898372615687,1.772,5449.6649992,0.3375954337671233,0.2880997944051153,0.23986637727272722,0.38030552369928944,2
MAC000166,0.19938113722881937,0.1497135887413164,1.888,3492.3599997,0.14616986303652968,0.15440168983786254,0.20972978531292827,0.2872377254395981,2
MAC000167,0.16787113906936912,0.18271864027604606,1.957,2940.2630008,0.09759634703196346,0.16619091118976934,0.20164412983097305,0.20608565561900413,0
MAC000168,0.04597077624429224,0.0906780845548786,1.1849999,805.4079998,0.0515461187214612,0.030799315068493153,0.047123059315068494,0.05441461187214612,0
MAC000169,0.13613671652585912,0.12247746601146899,1.3430001,2384.8430001,0.1477109589041096,0.12037048883051622,0.09389977168949772,0.18255844748858446,0
MAC000171,0.07460953465029974,0.14915909226746787,1.817,1306.7859993999998,0.0676230593607306,0.07559305773007537,0.05597487432617634,0.09925011416171768,0
MAC000172,0.05762538007512074,0.0720587126811277,0.795,644.3670000000001,0.0375793991416309,0.05980972818311874,0.05421216457960644,0.07890661896243294,0
MAC000174,0.447851669905795,0.35049219214998584,3.5940001,7844.1219984,0.3393378993378996,0.373632335989952,0.4706601962548526,0.6078741148275074,1
MAC000175,0.17171923297080707,0.07143204181889012,1.175,2999.9349999999995,0.13241414835164836,0.16838974124112666,0.19066819326768947,0.1954084249084249,0
MAC000176,0.17326780398442865,0.1010294918283613,2.425,3026.642,0.14393429487179488,0.17412960842683764,0.1763353183692167,0.19867941378520723,0
MAC000177,0.09139970316246146,0.10132673781835114,1.258,1601.1399999999999,0.059744748858447494,0.08323572407492007,0.10539041095890411,0.11722420091324201,0
MAC000178,0.21837178905126156,0.25588626889702637,5.0539999,3825.4370006,0.12357739728310502,0.208503082872802,0.20483398049783055,0.3365673515981735,2
MAC000179,0.1290558789954338,0.13066901065409284,1.793,2261.059,0.07263538812785389,0.11022762557077626,0.14194452054794524,0.19141598173515983,0
MAC000180,0.22825262567351598,0.32190128071039603,4.0770001,3998.9860018,0.1153262556849315,0.27755251155251137,0.22654703196347034,0.2935847034931507,2
MAC000181,0.24692745425799087,0.35407114398647954,4.5949998,4326.1689986,0.11055182655251143,0.2644118720547945,0.2979650682876712,0.3147810501369863,2
MAC000182,0.13330297411117295,0.1678637636239268,1.831,2155.9090003,0.06972279920870425,0.12798244315034618,0.16010514606630383,0.1754251792728172,0
MAC000183,0.2294343822480666,0.2538101260913992,2.382,3886.3890008999997,0.07515509915014165,0.23816316417945693,0.2825682570382617,0.32192182340576286,2
MAC000184,0.19921028262756826,0.10025568681212073,1.243,2065.213,0.18056790123456792,0.19205131172839507,0.1838877314814815,0.2403500578927055,0
MAC000185,0.12343530149040656,0.17037194397010208,1.84,2161.5989996999997,0.04978036529680366,0.10701552868234757,0.1174797714057143,0.2194988578574692,0
MAC000188,0.09570144993720744,0.08354601936253948,0.996,1676.498,0.046537899543378995,0.09746482412060302,0.09261917808219179,0.14618470319634702,0
MAC000189,0.2675995887709083,0.33234326173974266,2.4990001,4687.5419965,0.31264497691780824,0.2521226024657534,0.17557214607305935,0.33010143911354806,2
MAC000190,0.1320323151755638,0.10991379110524833,1.61,2312.5460003,0.08102442922374431,0.1392100936515186,0.14311740523069896,0.16479899499771586,0
MAC000191,0.3209543741605756,0.39881910501585216,4.0469999,5620.553000299999,0.12324018269406392,0.4212484586663622,0.3239977158519872,0.4154633141942858,1
MAC000192,0.1575441361310951,0.1740813265323914,2.3329999,2759.2280001999998,0.08999794520547946,0.178919159602649,0.12842850619004112,0.23287411473612063,0
MAC000196,0.04919994212962963,0.07175429177540556,0.957,680.14,0.04028906250000001,0.034834780092592596,0.061561631944444445,0.060114293981481486,0
MAC000197,0.000531114409682576,0.016577778072320224,0.824,9.303,4.4292237442922375e-05,6.394153916419274e-06,0.0015400959561343388,0.0005342465753424658,0
MAC000199,0.12000302528112333,0.1158564741696094,1.1849999,2102.3329999,0.06480365296803653,0.11221397579356017,0.12817671228310504,0.17481598175799087,0
