DateTime,usage,hour,dayofweek,anomaly_score,is_anomaly
2013-01-09 18:00:00,1.9069999,18,2,1,False
2013-01-09 18:30:00,1.971,18,2,1,False
2013-01-09 19:00:00,1.957,19,2,1,False
2013-01-09 19:30:00,2.638,19,2,1,False
2013-01-09 20:00:00,1.373,20,2,1,False
2013-01-09 20:30:00,1.243,20,2,1,False
2013-01-09 21:00:00,1.699,21,2,1,False
2013-01-09 21:30:00,1.142,21,2,1,False
2013-01-09 22:00:00,0.577,22,2,1,False
2013-01-09 22:30:00,1.388,22,2,1,False
2013-01-09 23:00:00,0.339,23,2,1,False
2013-01-09 23:30:00,0.312,23,2,1,False
2013-01-10 00:00:00,0.272,0,3,1,False
2013-01-10 00:30:00,0.271,0,3,1,False
2013-01-10 01:00:00,0.202,1,3,1,False
2013-01-10 01:30:00,0.153,1,3,1,False
2013-01-10 02:00:00,0.144,2,3,1,False
2013-01-10 02:30:00,0.187,2,3,1,False
2013-01-10 03:00:00,0.203,3,3,1,False
2013-01-10 03:30:00,0.166,3,3,1,False
2013-01-10 04:00:00,0.141,4,3,1,False
2013-01-10 04:30:00,0.176,4,3,1,False
2013-01-10 05:00:00,0.183,5,3,1,False
2013-01-10 05:30:00,0.161,5,3,1,False
2013-01-10 06:00:00,0.216,6,3,1,False
2013-01-10 06:30:00,0.224,6,3,1,False
2013-01-10 07:00:00,0.262,7,3,1,False
2013-01-10 07:30:00,0.565,7,3,1,False
2013-01-10 08:00:00,0.459,8,3,1,False
2013-01-10 08:30:00,0.289,8,3,1,False
2013-01-10 09:00:00,0.398,9,3,1,False
2013-01-10 09:30:00,0.221,9,3,1,False
2013-01-10 10:00:00,0.204,10,3,1,False
2013-01-10 10:30:00,0.194,10,3,1,False
2013-01-10 11:00:00,0.274,11,3,1,False
2013-01-10 11:30:00,0.239,11,3,1,False
2013-01-10 12:00:00,0.23,12,3,1,False
2013-01-10 12:30:00,1.827,12,3,1,False
2013-01-10 13:00:00,1.9069999,13,3,1,False
2013-01-10 13:30:00,0.734,13,3,1,False
2013-01-10 14:00:00,3.7579999,14,3,-1,True
2013-01-10 14:30:00,1.376,14,3,1,False
2013-01-10 15:00:00,1.006,15,3,1,False
2013-01-10 15:30:00,0.953,15,3,1,False
2013-01-10 16:00:00,1.2079999,16,3,1,False
2013-01-10 16:30:00,1.168,16,3,1,False
2013-01-10 17:00:00,2.3299999,17,3,1,False
2013-01-10 17:30:00,3.098,17,3,-1,True
2013-01-10 18:00:00,2.8800001,18,3,1,False
2013-01-10 18:30:00,3.1070001,18,3,-1,True
2013-01-10 19:00:00,2.3929999,19,3,1,False
2013-01-10 19:30:00,0.835,19,3,1,False
2013-01-10 20:00:00,1.937,20,3,1,False
2013-01-10 20:30:00,0.846,20,3,1,False
2013-01-10 21:00:00,0.634,21,3,1,False
2013-01-10 21:30:00,1.929,21,3,1,False
2013-01-10 22:00:00,1.278,22,3,1,False
2013-01-10 22:30:00,0.651,22,3,1,False
2013-01-10 23:00:00,1.038,23,3,1,False
2013-01-10 23:30:00,0.624,23,3,1,False
2013-01-11 00:00:00,0.741,0,4,1,False
2013-01-11 00:30:00,0.478,0,4,1,False
2013-01-11 01:00:00,0.247,1,4,1,False
2013-01-11 01:30:00,0.155,1,4,1,False
2013-01-11 02:00:00,0.188,2,4,1,False
2013-01-11 02:30:00,0.212,2,4,1,False
2013-01-11 03:00:00,0.189,3,4,1,False
2013-01-11 03:30:00,0.175,3,4,1,False
2013-01-11 04:00:00,0.18,4,4,1,False
2013-01-11 04:30:00,0.226,4,4,1,False
2013-01-11 05:00:00,0.192,5,4,1,False
